Name,Age,Gender,Song,Aggressive,Relaxed,Happy,Sad
mike,28,male,original\0__happy2_original.wav,3,-2,2,0
mike,28,male,original\0__happy_original.wav,0,0,0,0
mike,28,male,original\0__sad2_original.wav,2,-2,2,1
mike,28,male,original\0__aggressive_original.wav,0,0,0,0
mike,28,male,original\0__relaxed2_original.wav,0,0,0,0
mike,28,male,original\0__relaxed_original.wav,0,0,0,0
mike,28,male,original\0__sad_original.wav,0,0,0,0
mike,28,male,original\0__aggressive2_original.wav,0,0,0,0
mike,28,male,augmented\7__happy\happy2_pitch_shift_low.wav,0,0,0,0
mike,28,male,augmented\1__aggressive\aggressive_low_pass.wav,0,0,0,0
mike,28,male,augmented\3__happy\happy_low_pass.wav,0,0,0,0
mike,28,male,augmented\5__aggressive\aggressive2_pitch_shift_low.wav,0,0,0,0
mike,28,male,augmented\4__sad\sad_high_pass.wav,0,0,0,0
mike,28,male,augmented\4__sad\sad_time_stretch_high.wav,0,0,0,0
mike,28,male,augmented\3__happy\happy_high_pass.wav,0,0,0,0
mike,28,male,augmented\7__happy\happy2_pitch_shift_high.wav,0,0,0,0
mike,28,male,augmented\5__aggressive\aggressive2_pitch_shift_high.wav,0,0,0,0
mike,28,male,augmented\2__relaxed\relaxed_saturation.wav,0,0,0,0
mike,28,male,augmented\1__aggressive\aggressive_time_stretch_low.wav,0,0,0,0
mike,28,male,augmented\5__aggressive\aggressive2_noise_addition.wav,0,0,0,0
mike,28,male,augmented\6__relaxed\relaxed2_time_stretch_low.wav,0,0,0,0
mike,28,male,augmented\8__sad\sad2_pitch_shift_high.wav,0,0,0,0
mike,28,male,augmented\5__aggressive\aggressive2_reverb.wav,0,0,0,0
mike,28,male,augmented\5__aggressive\aggressive2_compressor.wav,0,0,0,0
mike,28,male,augmented\0__original\0__sad_original_then.wav,0,0,0,0
mike,28,male,augmented\3__happy\happy_reverb.wav,0,0,0,0
mike,28,male,augmented\1__aggressive\aggressive_pitch_shift_low.wav,0,0,0,0
